Interval,CSVdata
2019-01-21 01:21:24.190,2019-01-21 01:21:24.190
2019-01-21 01:21:42.190,2019-01-21 01:21:42.190
2019-01-21 01:22:00.190,2019-01-21 01:22:00.190
2019-01-21 01:22:17.190,2019-01-21 01:22:17.190
2019-01-21 01:22:34.190,2019-01-21 01:22:34.190
2019-01-21 01:22:52.190,2019-01-21 01:22:52.190
2019-01-21 01:23:10.190,2019-01-21 01:23:10.190
2019-01-21 01:23:28.190,2019-01-21 01:23:28.190
2019-01-21 01:23:46.190,2019-01-21 01:23:46.190
2019-01-21 01:24:04.190,2019-01-21 01:24:04.190
2019-01-21 01:24:22.190,2019-01-21 01:24:22.190
2019-01-21 01:24:40.190,2019-01-21 01:24:40.190
2019-01-21 01:24:58.190,2019-01-21 01:24:58.190
2019-01-21 01:25:16.190,2019-01-21 01:25:16.190
2019-01-21 01:25:34.190,2019-01-21 01:25:34.190
2019-01-21 01:25:52.190,2019-01-21 01:25:52.190
2019-01-21 01:26:10.190,2019-01-21 01:26:10.190
2019-01-21 01:26:28.190,2019-01-21 01:26:28.190
2019-01-21 01:26:46.190,2019-01-21 01:26:46.190
