GPS_date,GPS_time,GPS_milliseconds,Latitude,Longitude,UTC_offset_seconds
2019-08-19,22:13:30,624,-13.71767,155.49876,0
2019-08-19,22:13:40,623,-13.71742,155.49826,0
2019-08-19,22:13:50,624,-13.71718,155.49776,0
2019-08-19,22:14:00,624,-13.71692,155.49725,0
2019-08-19,22:14:10,624,-13.71667,155.49675,0
2019-08-19,22:14:20,624,-13.71642,155.49625,0
2019-08-19,22:14:30,624,-13.71616,155.49575,0
2019-08-19,22:14:40,623,-13.7159,155.49525,0
2019-08-19,22:14:50,624,-13.71565,155.49475,0
2019-08-19,22:15:00,624,-13.71538,155.49425,0
2019-08-19,22:15:10,624,-13.71513,155.49375,0
2019-08-19,22:15:20,624,-13.71486,155.49326,0
2019-08-19,22:15:30,624,-13.7146,155.49275,0
2019-08-19,22:15:40,624,-13.71434,155.49225,0
2019-08-19,22:15:50,624,-13.71408,155.49176,0
2019-08-19,22:16:00,624,-13.71382,155.49126,0
2019-08-19,22:16:10,624,-13.71357,155.49076,0
2019-08-19,22:16:20,624,-13.7133,155.49026,0
2019-08-19,22:16:30,624,-13.71305,155.48977,0
2019-08-19,22:16:40,624,-13.7128,155.48926,0
2019-08-19,22:16:50,624,-13.71254,155.48876,0
2019-08-19,22:17:00,624,-13.71229,155.48827,0
2019-08-19,22:17:10,624,-13.71203,155.48777,0
2019-08-19,22:17:20,624,-13.71177,155.48726,0
2019-08-19,22:17:30,623,-13.71151,155.48677,0
2019-08-19,22:17:40,624,-13.71125,155.48628,0
2019-08-19,22:17:50,624,-13.71099,155.48578,0
2019-08-19,22:18:00,623,-13.71073,155.48527,0
2019-08-19,22:18:10,624,-13.71047,155.48478,0
2019-08-19,22:18:20,624,-13.7102,155.48428,0
2019-08-19,22:18:30,623,-13.70994,155.48379,0
2019-08-19,22:18:40,624,-13.70968,155.48329,0
2019-08-19,22:18:50,624,-13.7094,155.48279,0
2019-08-19,22:19:00,623,-13.70913,155.4823,0
2019-08-19,22:19:10,624,-13.70886,155.4818,0
2019-08-19,22:19:20,624,-13.7086,155.4813,0
2019-08-19,22:19:30,623,-13.70834,155.4808,0
2019-08-19,22:19:40,624,-13.70808,155.4803,0
2019-08-19,22:19:50,624,-13.70782,155.47979,0
2019-08-19,22:20:00,623,-13.70757,155.47929,0
2019-08-19,22:20:10,624,-13.70732,155.47879,0
2019-08-19,22:20:20,624,-13.70706,155.47829,0
2019-08-19,22:20:30,623,-13.7068,155.47779,0
2019-08-19,22:20:40,624,-13.70655,155.47729,0
2019-08-19,22:20:50,624,-13.7063,155.47679,0
2019-08-19,22:21:00,623,-13.70605,155.47629,0
2019-08-19,22:21:10,624,-13.70579,155.47579,0
2019-08-19,22:21:20,624,-13.70555,155.47529,0
2019-08-19,22:21:30,623,-13.7053,155.47479,0
2019-08-19,22:21:40,624,-13.70504,155.47428,0
2019-08-19,22:21:50,624,-13.70478,155.47378,0
2019-08-19,22:22:00,623,-13.70452,155.47329,0
2019-08-19,22:22:10,624,-13.70426,155.47279,0
2019-08-19,22:22:20,624,-13.704,155.47229,0
2019-08-19,22:22:30,623,-13.70374,155.4718,0
2019-08-19,22:22:40,624,-13.70348,155.4713,0
2019-08-19,22:22:50,624,-13.70322,155.47081,0
2019-08-19,22:23:00,623,-13.70295,155.47031,0
2019-08-19,22:23:10,624,-13.7027,155.46982,0
2019-08-19,22:23:20,624,-13.70243,155.46932,0
2019-08-19,22:23:30,623,-13.70217,155.46882,0
2019-08-19,22:23:40,624,-13.70191,155.46832,0
2019-08-19,22:23:50,624,-13.70165,155.46783,0
2019-08-19,22:24:00,624,-13.70139,155.46733,0
2019-08-19,22:24:10,624,-13.70112,155.46684,0
2019-08-19,22:24:20,624,-13.70086,155.46634,0
2019-08-19,22:24:30,623,-13.7006,155.46584,0
2019-08-19,22:24:40,624,-13.70033,155.46535,0
2019-08-19,22:24:50,624,-13.70008,155.46484,0
2019-08-19,22:25:00,624,-13.69982,155.46434,0
2019-08-19,22:25:10,624,-13.69956,155.46384,0
2019-08-19,22:25:20,624,-13.69929,155.46334,0
2019-08-19,22:25:30,624,-13.69903,155.46284,0
2019-08-19,22:25:40,624,-13.69877,155.46234,0
2019-08-19,22:25:50,624,-13.69852,155.46184,0
2019-08-19,22:26:00,624,-13.69826,155.46133,0
2019-08-19,22:26:10,624,-13.69799,155.46083,0
2019-08-19,22:26:20,624,-13.69774,155.46034,0
2019-08-19,22:26:30,624,-13.69749,155.45983,0
2019-08-19,22:26:40,624,-13.69722,155.45933,0
2019-08-19,22:26:50,624,-13.69697,155.45883,0
2019-08-19,22:27:00,624,-13.69671,155.45834,0
2019-08-19,22:27:10,624,-13.69645,155.45784,0
2019-08-19,22:27:20,624,-13.69619,155.45733,0
2019-08-19,22:27:30,624,-13.69593,155.45683,0
2019-08-19,22:27:40,624,-13.69568,155.45633,0
2019-08-19,22:27:50,624,-13.69542,155.45582,0
2019-08-19,22:28:00,624,-13.69516,155.45532,0
2019-08-19,22:28:10,624,-13.69491,155.45482,0
2019-08-19,22:28:20,624,-13.69465,155.45432,0
2019-08-19,22:28:30,624,-13.69439,155.45381,0
2019-08-19,22:28:40,624,-13.69413,155.45331,0
2019-08-19,22:28:50,624,-13.69387,155.4528,0
2019-08-19,22:29:00,624,-13.69362,155.4523,0
2019-08-19,22:29:10,624,-13.69335,155.4518,0
2019-08-19,22:29:20,624,-13.69308,155.4513,0
2019-08-19,22:29:30,624,-13.69282,155.45081,0
2019-08-19,22:29:40,624,-13.69256,155.4503,0
2019-08-19,22:29:50,624,-13.69229,155.4498,0
2019-08-19,22:30:00,624,-13.69203,155.4493,0
2019-08-19,22:30:10,624,-13.69177,155.4488,0
2019-08-19,22:30:20,624,-13.69151,155.4483,0
2019-08-19,22:30:30,624,-13.69124,155.4478,0
2019-08-19,22:30:40,624,-13.69098,155.4473,0
2019-08-19,22:30:50,624,-13.69072,155.4468,0
2019-08-19,22:31:00,624,-13.69045,155.44629,0
2019-08-19,22:31:10,624,-13.69019,155.44579,0
2019-08-19,22:31:20,624,-13.68993,155.44529,0
